Config,Bal.Acc (mean±std),AUC (mean±std),ECE (mean)
1 layer,0.0000±0.0000,0.0000±0.0000,0.1539
2 layers,0.0000±0.0000,0.0000±0.0000,0.2043
3 layers,0.0000±0.0000,0.0000±0.0000,0.1199
4 layers,0.0000±0.0000,0.0000±0.0000,0.0401
